Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyReturn,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2016-05-25,1085.5,1085.0,1088.0,1054.75,1054.75,30.75,0.029153827921308367,1.2980568011958136,33.25,1.0315240578336098,0.03152405783360986,1068.9,1062.4833333333333,1036.2916666666667,1070.7434254632103,28.881906511028554,61.95334223294247,61.293900223780156,63.272226251267085,1.8791119812429826,65.26706823093849,9.819999999999983
2016-05-24,1054.75,1046.25,1069.75,1043.5,1058.5,-3.75,-0.0035427491733585263,1.261285500747383,26.25,1.0251557259223767,0.024799244213509684,1066.85,1059.05,1032.2583333333334,1063.3651381948155,20.09903815240468,45.739002113458646,60.964179219198996,15.288647901977953,1.3504161430820754,57.45434258766148,8.180000000000017
2016-05-23,1058.5,1058.5,1079.0,1052.0,1074.25,-15.75,-0.014661391668606005,1.2657698056801185,27.0,1.0256653992395437,0.025133814289038863,1071.95,1057.4,1028.3083333333334,1067.6727072922233,30.227892698056614,56.446341008025804,68.57676777206918,32.18548747993907,1.4364138644788125,58.956070042972115,5.559999999999991
2016-05-20,1074.25,1075.0,1087.5,1063.25,1071.5,2.75,0.0025664955669622027,1.2846038863976073,24.25,1.022807430049377,0.02263182454503033,1073.15,1056.4166666666667,1023.9666666666667,1072.2590609383349,42.25442229507974,75.29451151203871,74.64198115409086,76.59957222793443,1.9110429931338844,65.64805115009828,4.1199999999999815
2016-05-19,1071.5,1071.75,1074.75,1051.0,1075.25,-3.75,-0.0034875610323180655,1.2813153961136012,23.75,1.0225975261655567,0.022087886538014415,1071.3,1053.45,1018.7166666666667,1071.2635914075024,46.34197671958357,75.62559079746984,74.31571597511693,78.24534044217566,1.8574704513869125,65.00401256941655,5.240000000000009
2016-05-18,1075.25,1073.0,1088.0,1063.75,1080.25,-5.0,-0.004628558204119417,1.2857997010463367,24.25,1.0227967097532316,0.022448507289979172,1071.4,1050.5166666666667,1013.15,1071.1453871112537,52.514189105771784,77.23148964448062,73.66077856394048,84.37291180556088,1.9926420444174893,66.58471059492692,5.319999999999982
2016-05-17,1080.25,1078.75,1086.75,1062.75,1064.5,15.75,0.014795678722404886,1.291778774289984,24.0,1.0225829216654905,0.02254579614842649,1072.0,1047.4,1007.575,1069.0930806668805,56.217143055265055,75.63639109322695,71.87542302367042,83.15832723233999,2.1899535821850824,68.65158146548919,5.8
2016-05-16,1064.5,1063.0,1071.75,1055.0,1065.0,-0.5,-0.00046948356807511736,1.272944693572495,16.75,1.0158767772511847,0.01572769953051643,1072.75,1043.8666666666666,1001.725,1063.5146210003209,54.36025798233527,70.23169507357535,69.99493898889216,70.70520724294175,1.9003199023241693,65.52104479238133,6.7
2016-05-13,1065.0,1061.0,1075.5,1057.5,1072.0,-7.0,-0.0065298507462686565,1.27354260089686,18.0,1.0170212765957447,0.016791044776119403,1065.15,1040.2166666666667,996.6916666666667,1063.0219315004813,61.011750746645795,71.61260285132688,69.87656094655055,75.08468666087956,1.9166844666729026,65.7144949538984,15.519999999999982
2016-05-12,1072.0,1069.0,1089.75,1062.75,1078.25,-6.25,-0.005796429399489914,1.281913303437966,27.0,1.0254057868736768,0.025040575005796428,1059.1,1035.6333333333334,991.8,1062.0328972507218,67.74152060358388,73.38275969867708,69.00853999416239,82.13119910770644,2.158305038780575,68.33744721548172,22.78000000000002
2016-05-11,1078.25,1078.0,1091.0,1073.0,1084.0,-5.75,-0.005304428044280443,1.289387144992525,18.0,1.0167753960857409,0.016605166051660517,1047.15,1032.6666666666667,986.425,1057.0493458760827,68.5304110032991,71.82112749982285,66.82143014190505,81.82052221565843,2.410209185240211,70.6762856563721,27.180000000000017
